beta  ances 
0.209 0.354
0.204 0.356
0.202 0.353
0.204 0.354
0.202 0.357
0.202 0.361
0.203 0.361
0.205 0.362
0.204 0.361
0.205 0.361
0.205 0.362
0.204 0.362
0.205 0.361
0.206 0.362
0.205 0.361
0.206 0.362
0.206 0.363
0.205 0.363
0.206 0.364
0.206 0.364
0.205 0.363
0.206 0.363
0.205 0.363
0.205 0.364
0.205 0.364
0.205 0.364
0.206 0.363
0.206 0.364
0.205 0.364
0.205 0.364
0.204 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.364
0.205 0.365
0.205 0.364
0.205 0.365
0.206 0.364
0.205 0.365
0.205 0.365
0.205 0.365
0.205 0.365
0.205 0.365
0.205 0.365
0.206 0.365
0.205 0.365
0.205 0.365
